id_ubicacion;comuna;tipo_de_calle;direccion
265;;AVENIDA;JUSTO, JUAN B. AV. 2551
266;Comuna 4;AVENIDA;GARAY, JUAN DE AV. 2874
267;Comuna 14;AVENIDA;SCALABRINI ORTIZ, RAUL AV. y GORRITI
268;;CALLE;MEDRANO y CABRERA, JOSE A.
269;;CALLE;GUARDIA NACIONAL y ZUVIRIA
270;;CALLE;PELLEGRINI, CARLOS 800
271;Comuna 9;AVENIDA;PRIMERA JUNTA y OLIVERA AV.
272;Comuna 10;AVENIDA;ALBERDI, JUAN BAUTISTA AV. y AZUL
273;Comuna 5;AUTOPISTA;
274;Comuna 13;AUTOPISTA;LUGONES, LEOPOLDO AV. y PAZ, GRAL. AV.
275;Comuna 15;AVENIDA;ALVAREZ THOMAS AV. 1788
276;;AVENIDA;SANTA FE AV. y ALVAREZ, JULIAN
277;Comuna 4;CALLE;SAN ANTONIO y LUJAN
278;;AVENIDA;REPUBLICA BOLIVARIANA DE VENEZUELA y 9 DE JULIO AV.
279;Comuna 4;AUTOPISTA;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.
280;;AV. GRAL. PAZ;PAZ, GRAL. AV. y ALBARELLOS AV.
281;;AVENIDA;DIRECTORIO AV. 1131
282;Comuna 14;AVENIDA;FIGUEROA ALCORTA, PRES. AV. y TAGLE
283;Comuna 4;AVENIDA;EINSTEIN, ALBERTO y ALCORTA, AMANCIO AV.
284;;AVENIDA;CONGRESO AV. y MILLER
285;;CALLE;HERNANDARIAS y PILCOMAYO
286;Comuna 13;AV. GRAL. PAZ;CABILDO AV. y PAZ, GRAL. AV.
287;Comuna 5;CALLE;AGRELO y COLOMBRES
288;;AVENIDA;SAN JUAN AV. y COMBATE DE LOS POZOS
289;Comuna 15;AVENIDA;ELCANO AV. 4300
290;;AV. GRAL. PAZ;PAZ, GRAL. AV. 2700
291;Comuna 8;AVENIDA;RABANAL, FRANCISCO, INTENDENTE AV. 2428
292;;AVENIDA;CARABOBO AV. y FALCON, RAMON L.,CNEL.
293;Comuna 9;CALLE;MONTE y CORVALAN
294;Comuna 7;CALLE;TANDIL y LAFUENTE
295;;AVENIDA;RUIZ HUIDOBRO AV. y PALME, OLOF
296;Comuna 12;AUTOPISTA;
297;Comuna 10;CALLE;CARDOSO y BACACAY
298;;AVENIDA;CAMPOS, LUIS M. AV. 144
299;Comuna 15;AVENIDA;CORRIENTES AV. 6700
300;Comuna 12;AVENIDA;ALVAREZ THOMAS AV. y MENDOZA
301;Comuna 4;AVENIDA;ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO
302;;AVENIDA;ROCA, CNEL. AV. y GUAMINI
303;Comuna 4;AVENIDA;BROWN, ALTE. AV. y BLANES, JUAN MANUEL
304;;AVENIDA;DIRECTORIO AV. y LAFUENTE
305;Comuna 9;AVENIDA;ALBERDI, JUAN BAUTISTA AV. 5455
306;;CALLE;CHILAVERT, MARTINIANO, CORONEL y VEDIA, AGUSTIN DE
307;;CALLE;HERRERA 150
308;;CALLE;YATAY y BOGADO
309;;AV. GRAL. PAZ;PAZ, GRAL. AV. y LOPE DE VEGA AV.
310;;AVENIDA;CORDOBA AV. 4151
311;Comuna 15;AVENIDA;JUSTO, JUAN B. AV. y CAMARGO
312;Comuna 4;CALLE;BRIN, MINISTRO y SUAREZ
313;;AVENIDA;ANTARTIDA ARGENTINA AV. 1200
314;;CALLE;AMENABAR 1461
315;;AV. GRAL. PAZ;PAZ, GRAL. AV. y JUSTO, JUAN B. AV.
316;Comuna 11;AVENIDA;NIZA y JUSTO, JUAN B. AV.
317;;AVENIDA;LUGONES, LEOPOLDO AV. y DE LOS OMBUES AV.
318;;AVENIDA;RIVADAVIA AV. y MAZA
319;;CALLE;QUIRNO y REMEDIOS
320;;CALLE;IRIGOYEN, BERNARDO DE y BRASIL
321;;AVENIDA;SEGUROLA AV. y ARREGUI
322;;AVENIDA;27 DE FEBRERO AV. 6155
323;;AVENIDA;JUSTO, JUAN B. AV. y CAMARGO
324;;AVENIDA;ALVAREZ THOMAS AV. y LACROZE, FEDERICO AV.
325;;AVENIDA;9 DE JULIO AV. y CORRIENTES AV.
326;;AVENIDA;GUEMES, MACACHA y MADERO, EDUARDO AV.
327;;AVENIDA;SARMIENTO AV. 2641
328;Comuna 15;CALLE;CAMARGO y SERRANO
329;Comuna 1;AUTOPISTA;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.
330;;AVENIDA;SAENZ AV. y ALCORTA, AMANCIO AV.
